timestep,weekday,yearday,holiday_-2,holiday_-1,holiday_0,holiday_+1,holiday_+2,resident_pop,tourist_pop,temp_min,temp_max,prec_prob,wind_speed
2274.0,4.0,77.0,0.0,0.0,0.0,1.0,1.0,1227460.8839779005,725545.4838709678,9.0,22.0,0.0,1.0
2275.0,5.0,78.0,0.0,0.0,1.0,1.0,0.0,1227506.6850828729,750166.8064516129,11.0,20.0,2.0,1.0
2276.0,6.0,79.0,0.0,1.0,1.0,0.0,0.0,1227552.4861878452,774788.1290322582,10.0,21.0,1.0,1.0
2277.0,0.0,80.0,1.0,1.0,0.0,0.0,0.0,1227598.2872928176,799409.4516129033,14.0,22.0,0.0,0.0
2278.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0,1227644.08839779,824030.7741935484,14.0,22.0,1.0,0.0
2279.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0,1227689.8895027624,848652.0967741936,11.0,23.0,1.0,0.0
2280.0,3.0,83.0,0.0,0.0,0.0,0.0,1.0,1227735.6906077347,873273.4193548388,16.0,22.0,0.0,1.0
2281.0,4.0,84.0,0.0,0.0,0.0,1.0,1.0,1227781.491712707,897894.7419354839,15.0,25.0,0.0,1.0
2282.0,5.0,85.0,0.0,0.0,1.0,1.0,0.0,1227827.2928176795,922516.0645161291,14.0,28.0,0.0,0.0
2283.0,6.0,86.0,0.0,1.0,1.0,0.0,0.0,1227873.0939226518,947137.3870967742,13.0,28.0,0.0,2.0
2284.0,0.0,87.0,1.0,1.0,0.0,0.0,0.0,1227918.8950276242,971758.7096774194,13.0,30.0,0.0,1.0
2285.0,1.0,88.0,1.0,0.0,0.0,0.0,0.0,1227964.6961325966,996380.0322580646,13.0,30.0,0.0,1.0
2286.0,2.0,89.0,0.0,0.0,0.0,0.0,0.0,1228010.497237569,1021001.3548387097,14.0,29.0,0.0,1.0
2287.0,3.0,90.0,0.0,0.0,0.0,0.0,1.0,1228056.2983425413,1045622.6774193549,15.0,29.0,3.0,0.0
2288.0,4.0,91.0,0.0,0.0,0.0,1.0,1.0,1228102.0994475137,1070244.0,15.0,26.0,3.0,1.0
2289.0,5.0,92.0,0.0,0.0,1.0,1.0,0.0,1228147.9005524863,1088922.9,14.0,25.0,1.0,2.0
2290.0,6.0,93.0,0.0,1.0,1.0,0.0,0.0,1228193.7016574587,1107601.8,14.0,21.0,2.0,1.0
2291.0,0.0,94.0,1.0,1.0,0.0,0.0,0.0,1228239.502762431,1126280.7,17.0,24.0,0.0,2.0
2292.0,1.0,95.0,1.0,0.0,0.0,0.0,0.0,1228285.3038674034,1144959.6,13.0,27.0,1.0,0.0
2293.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,1228331.1049723758,1163638.5,13.0,22.0,0.0,3.0
2294.0,3.0,97.0,0.0,0.0,0.0,0.0,1.0,1228376.9060773482,1182317.4,12.0,20.0,3.0,4.0
2295.0,4.0,98.0,0.0,0.0,0.0,1.0,1.0,1228422.7071823205,1200996.3,14.0,24.0,0.0,2.0
2296.0,5.0,99.0,0.0,0.0,1.0,1.0,0.0,1228468.508287293,1219675.2,15.0,23.0,2.0,3.0
2297.0,6.0,100.0,0.0,1.0,1.0,0.0,0.0,1228514.3093922653,1238354.1,15.0,23.0,3.0,1.0
2298.0,0.0,101.0,1.0,1.0,0.0,0.0,0.0,1228560.1104972376,1257033.0,13.0,23.0,3.0,2.0
2299.0,1.0,102.0,1.0,0.0,0.0,0.0,0.0,1228605.91160221,1275711.9,14.0,28.0,0.0,0.0
2300.0,2.0,103.0,0.0,0.0,0.0,0.0,1.0,1228651.7127071824,1294390.8,12.0,27.0,1.0,1.0
2301.0,3.0,104.0,0.0,0.0,0.0,1.0,1.0,1228697.5138121548,1313069.7,12.0,27.0,1.0,1.0
2302.0,4.0,105.0,0.0,0.0,1.0,1.0,1.0,1228743.3149171271,1331748.6,13.0,28.0,0.0,1.0
2303.0,5.0,106.0,0.0,1.0,1.0,1.0,0.0,1228789.1160220995,1350427.5,14.0,30.0,0.0,1.0
2304.0,6.0,107.0,1.0,1.0,1.0,0.0,0.0,1228834.9171270719,1369106.4,16.0,27.0,0.0,0.0
2305.0,0.0,108.0,1.0,1.0,0.0,0.0,0.0,1228880.7182320443,1387785.3,15.0,28.0,0.0,1.0
2306.0,1.0,109.0,1.0,0.0,0.0,0.0,0.0,1228926.5193370166,1406464.2,14.0,29.0,0.0,1.0
2307.0,2.0,110.0,0.0,0.0,0.0,0.0,0.0,1228972.320441989,1425143.1,14.0,29.0,0.0,1.0
2308.0,3.0,111.0,0.0,0.0,0.0,0.0,1.0,1229018.1215469614,1443822.0,15.0,29.0,0.0,2.0
2309.0,4.0,112.0,0.0,0.0,0.0,1.0,1.0,1229063.9226519337,1462500.9,15.0,27.0,0.0,1.0
2310.0,5.0,113.0,0.0,0.0,1.0,1.0,0.0,1229109.723756906,1481179.8,13.0,27.0,0.0,1.0
2311.0,6.0,114.0,0.0,1.0,1.0,0.0,0.0,1229155.5248618785,1499858.7,14.0,29.0,1.0,1.0
2312.0,0.0,115.0,1.0,1.0,0.0,0.0,0.0,1229201.3259668509,1518537.6,14.0,27.0,1.0,1.0
2313.0,1.0,116.0,1.0,0.0,0.0,0.0,0.0,1229247.1270718232,1537216.5,14.0,26.0,0.0,1.0
2314.0,2.0,117.0,0.0,0.0,0.0,0.0,0.0,1229292.9281767956,1555895.4,15.0,25.0,0.0,2.0
2315.0,3.0,118.0,0.0,0.0,0.0,0.0,1.0,1229338.729281768,1574574.3,17.0,27.0,1.0,1.0
2316.0,4.0,119.0,0.0,0.0,0.0,1.0,1.0,1229384.5303867403,1593253.2000000002,17.0,25.0,0.0,3.0
2317.0,5.0,120.0,0.0,0.0,1.0,1.0,0.0,1229430.3314917127,1611932.1,17.0,27.0,0.0,1.0
2318.0,6.0,121.0,0.0,1.0,1.0,0.0,0.0,1229476.132596685,1630611.0,15.0,28.0,0.0,1.0
2319.0,0.0,122.0,1.0,1.0,0.0,0.0,0.0,1229521.9337016575,1641192.6129032257,13.0,23.0,3.0,1.0
2320.0,1.0,123.0,1.0,0.0,0.0,0.0,0.0,1229567.7348066298,1651774.2258064516,12.0,23.0,0.0,2.0
2321.0,2.0,124.0,0.0,0.0,0.0,0.0,0.0,1229613.5359116022,1662355.8387096773,13.0,24.0,2.0,1.0
2322.0,3.0,125.0,0.0,0.0,0.0,0.0,1.0,1229659.3370165746,1672937.4516129033,14.0,25.0,1.0,4.0
2323.0,4.0,126.0,0.0,0.0,0.0,1.0,1.0,1229705.138121547,1683519.064516129,19.0,26.0,0.0,3.0
2324.0,5.0,127.0,0.0,0.0,1.0,1.0,0.0,1229750.9392265193,1694100.677419355,18.0,27.0,1.0,0.0
2325.0,6.0,128.0,0.0,1.0,1.0,0.0,0.0,1229796.7403314917,1704682.2903225806,16.0,26.0,0.0,1.0
2326.0,0.0,129.0,1.0,1.0,0.0,0.0,0.0,1229842.541436464,1715263.9032258065,16.0,27.0,1.0,1.0
2327.0,1.0,130.0,1.0,0.0,0.0,0.0,0.0,1229888.3425414364,1725845.5161290322,16.0,27.0,1.0,0.0
2328.0,2.0,131.0,0.0,0.0,0.0,0.0,0.0,1229934.1436464088,1736427.129032258,17.0,26.0,2.0,1.0
2329.0,3.0,132.0,0.0,0.0,0.0,0.0,1.0,1229979.9447513812,1747008.7419354839,16.0,28.0,2.0,1.0
